geocode_name,year,shannon_h
Birmingham,2016,0.5859800926424533
Birmingham,2017,0.5927407955437739
Birmingham,2018,0.5940728608900494
Birmingham,2019,0.6025308181935471
Birmingham,2020,0.6037146813311629
Birmingham,2021,0.6058586142348834
Birmingham,2022,0.6146402033563101
Birmingham,2023,0.6009089257059352
Birmingham,2024,0.6074750695321247
Birmingham,2025,0.6097294852837168
Liverpool,2016,0.5956275705150845
Liverpool,2017,0.610843770276121
Liverpool,2018,0.6243852072320795
Liverpool,2019,0.6100284672626263
Liverpool,2020,0.6019840785119314
Liverpool,2021,0.6026540876362008
Liverpool,2022,0.613486210842319
Liverpool,2023,0.6994036461034907
Liverpool,2024,0.7033369132408341
Liverpool,2025,0.7070419993949053
