geocode_name,year,category_subgroup,n,share
Liverpool,2018,RETAIL_HIGH_STREET,6515,82.7722017532715
Liverpool,2018,RETAIL_OTHER_SUPERSTORES_AND_WAREHOUSES,274,3.4811332740439584
Liverpool,2018,RETAIL_RESTAURANTS_AND_CAFES,875,11.116757718206074
Liverpool,2019,RETAIL_FINANCIAL_AND_PROFESSIONAL_SERVICES,175,2.0639226323858946
Liverpool,2019,RETAIL_FOOD_SUPERSTORES,35,0.41278452647717895
Liverpool,2019,RETAIL_HIGH_STREET,7064,83.31171128670833
Liverpool,2019,RETAIL_OTHER_SUPERSTORES_AND_WAREHOUSES,286,3.3730392734992334
Liverpool,2019,RETAIL_RESTAURANTS_AND_CAFES,919,10.838542280929355
Liverpool,2020,RETAIL_FINANCIAL_AND_PROFESSIONAL_SERVICES,192,2.0788220008661757
Liverpool,2020,RETAIL_FOOD_SUPERSTORES,37,0.40060632308358596
Liverpool,2020,RETAIL_HIGH_STREET,7727,83.6617583369424
Liverpool,2020,RETAIL_OTHER_SUPERSTORES_AND_WAREHOUSES,306,3.3131225638804676
Liverpool,2020,RETAIL_RESTAURANTS_AND_CAFES,974,10.545690775227373
Liverpool,2021,RETAIL_FINANCIAL_AND_PROFESSIONAL_SERVICES,186,1.9801980198019802
Liverpool,2021,RETAIL_FOOD_SUPERSTORES,38,0.4045565846907271
Liverpool,2021,RETAIL_HIGH_STREET,7846,83.53028851272224
Liverpool,2021,RETAIL_OTHER_SUPERSTORES_AND_WAREHOUSES,307,3.2683913552645585
Liverpool,2021,RETAIL_RESTAURANTS_AND_CAFES,1016,10.816565527520494
Liverpool,2022,RETAIL_FINANCIAL_AND_PROFESSIONAL_SERVICES,188,1.9776982958131708
Liverpool,2022,RETAIL_FOOD_SUPERSTORES,42,0.4418262150220913
Liverpool,2022,RETAIL_HIGH_STREET,7900,83.10540711129812
Liverpool,2022,RETAIL_OTHER_SUPERSTORES_AND_WAREHOUSES,319,3.355775299810646
Liverpool,2022,RETAIL_RESTAURANTS_AND_CAFES,1057,11.119293078055964
Liverpool,2023,RETAIL_FINANCIAL_AND_PROFESSIONAL_SERVICES,151,1.7656688493919552
Liverpool,2023,RETAIL_FOOD_SUPERSTORES,62,0.7249766136576239
Liverpool,2023,RETAIL_HIGH_STREET,6856,80.16838166510757
Liverpool,2023,RETAIL_OTHER_SUPERSTORES_AND_WAREHOUSES,507,5.928437792329279
Liverpool,2023,RETAIL_RESTAURANTS_AND_CAFES,976,11.412535079513564
Liverpool,2024,RETAIL_FINANCIAL_AND_PROFESSIONAL_SERVICES,154,1.788410173034491
Liverpool,2024,RETAIL_FOOD_SUPERSTORES,62,0.7200092904424573
Liverpool,2024,RETAIL_HIGH_STREET,6889,80.00232261061433
Liverpool,2024,RETAIL_OTHER_SUPERSTORES_AND_WAREHOUSES,516,5.9923353849727095
Liverpool,2024,RETAIL_RESTAURANTS_AND_CAFES,990,11.496922540936012
Liverpool,2025,RETAIL_FINANCIAL_AND_PROFESSIONAL_SERVICES,152,1.7417210954508995
Liverpool,2025,RETAIL_FOOD_SUPERSTORES,66,0.7562736335510485
Liverpool,2025,RETAIL_HIGH_STREET,6968,79.84416179672282
Liverpool,2025,RETAIL_OTHER_SUPERSTORES_AND_WAREHOUSES,530,6.073106451243268
Liverpool,2025,RETAIL_RESTAURANTS_AND_CAFES,1011,11.58473702303197
