geocode_name,year,vacancy_rate_known,unknown_share
Birmingham,2016,8.147625289906221,43.03193933823529
Birmingham,2017,10.702659785629217,12.674200929071622
Birmingham,2018,5.7551896921975665,5.429190360140807
Birmingham,2019,7.020212997174527,9.7548218372017
Birmingham,2020,7.15941825335488,10.680891120175714
Birmingham,2021,7.495777027027027,12.78084714548803
Birmingham,2022,7.7414772727272725,15.139826422372227
Birmingham,2023,5.701829372542315,20.122908842608396
Birmingham,2024,3.009476205352494,35.35074727346169
Birmingham,2025,2.839590443686007,51.25116464794356
Liverpool,2016,12.222222222222221,69.15011593910675
Liverpool,2017,24.38953488372093,54.66526093832367
Liverpool,2018,10.3475935828877,4.967602591792657
Liverpool,2019,8.616083355597116,11.711286708338248
Liverpool,2020,7.840103159252096,16.035080121264617
Liverpool,2021,7.317397078353253,19.833918875758545
Liverpool,2022,7.025472473294987,23.185356616873555
Liverpool,2023,4.622750536569259,29.174462114125348
Liverpool,2024,4.795362726154927,33.886888863082106
Liverpool,2025,4.799578059071729,34.82296321760055
