"city","year","floor_area_band","records","floor_area_midpoint","total_records_with_floor_area","share_percent"
"Liverpool","2022","400-650",289,525,8875,3.25633802816901
"Liverpool","2022",">4,000",60,5200,8875,0.676056338028169
"Liverpool","2022","100-150",1171,125,8875,13.1943661971831
"Liverpool","2022","1,000-1,600",124,1300,8875,1.39718309859155
"Liverpool","2025","100-150",1075,125,8133,13.2177548260175
"Liverpool","2025","1,000-1,600",106,1300,8133,1.30333210377474
"Liverpool","2025","25-50",1493,37.5,8133,18.3573097258084
"Liverpool","2025","250-400",456,325,8133,5.60678716340834
"Liverpool","2025","2,500-4,000",31,3250,8133,0.38116316242469
"Liverpool","2025","75-100",848,87.5,8133,10.426656830198
"Liverpool","2025","650-1,000",127,825,8133,1.56153940735276
"Liverpool","2025","0-25",1671,12.5,8133,20.5459240132792
"Liverpool","2025","150-250",772,200,8133,9.49219230296324
"Liverpool","2025","1,600-2,500",49,2050,8133,0.602483708348703
"Liverpool","2025","50-75",1208,62.5,8133,14.8530677486782
"Liverpool","2025","400-650",250,525,8133,3.07389647116685
"Liverpool","2025",">4,000",47,5200,8133,0.577892536579368
