year,grid_x,grid_y,retail_count
2016.0,-1000,1000,2
2016.0,-1000,1500,1
2016.0,-1000,1750,4
2016.0,-1000,2000,16
2016.0,-1000,2250,2
2016.0,-1000,2500,22
2016.0,-1000,3500,2
2016.0,-1000,3750,1
2016.0,-1000,4000,4
2016.0,-1000,4250,2
2016.0,-1000,4500,1
2016.0,-1000,5000,7
2016.0,-1000,5250,54
2016.0,-1000,5500,10
2016.0,-1000,5750,8
2016.0,-1000,6000,32
2016.0,-1000,6250,9
2016.0,-1000,6500,5
2016.0,-750,-3000,5
2016.0,-750,-2750,1
2016.0,-750,-2250,7
2016.0,-750,-2000,9
2016.0,-750,-1500,7
2016.0,-750,-1000,1
2016.0,-750,-500,1
2016.0,-750,250,2
2016.0,-750,500,18
2016.0,-750,750,1
2016.0,-750,1250,1
2016.0,-750,1500,4
2016.0,-750,1750,65
2016.0,-750,2000,6
2016.0,-750,2250,10
2016.0,-750,2500,22
2016.0,-750,4000,17
2016.0,-750,4250,12
2016.0,-750,5250,5
2016.0,-750,6000,19
2016.0,-750,6250,82
2016.0,-750,6500,12
2016.0,-500,-2750,1
2016.0,-500,-1750,6
2016.0,-500,-1500,5
2016.0,-500,-1250,18
2016.0,-500,-1000,5
2016.0,-500,-250,23
2016.0,-500,0,15
2016.0,-500,500,20
2016.0,-500,750,3
2016.0,-500,1000,5
2016.0,-500,1250,3
2016.0,-500,1750,10
2016.0,-500,2000,38
2016.0,-500,2250,28
2016.0,-500,2500,11
2016.0,-500,4000,10
2016.0,-500,4250,2
2016.0,-500,5250,2
2016.0,-500,6250,9
2016.0,-500,6500,24
2016.0,-500,6750,15
2016.0,-500,7000,21
2016.0,-250,-3250,1
2016.0,-250,-3000,45
2016.0,-250,-2750,1
2016.0,-250,-1250,1
2016.0,-250,-1000,7
2016.0,-250,-250,32
2016.0,-250,0,5
2016.0,-250,500,5
2016.0,-250,750,4
2016.0,-250,1000,11
2016.0,-250,1250,2
2016.0,-250,1500,4
2016.0,-250,1750,5
2016.0,-250,2000,56
2016.0,-250,2250,14
2016.0,-250,2500,24
2016.0,-250,2750,13
2016.0,-250,3000,8
2016.0,-250,3750,20
2016.0,-250,6000,7
2016.0,-250,6500,15
2016.0,-250,6750,2
2016.0,0,-3250,19
2016.0,0,-3000,33
2016.0,0,-2750,2
2016.0,0,-1750,17
2016.0,0,-1500,27
2016.0,0,-1250,25
2016.0,0,-1000,30
2016.0,0,-500,4
2016.0,0,-250,31
2016.0,0,0,1
2016.0,0,250,32
2016.0,0,500,43
2016.0,0,750,10
2016.0,0,1000,10
2016.0,0,1500,8
2016.0,0,1750,2
2016.0,0,2250,5
2016.0,0,2500,45
2016.0,0,3250,18
2016.0,0,4250,7
2016.0,0,5750,6
2016.0,0,6000,1
2016.0,0,6500,23
2016.0,0,6750,4
2016.0,0,7250,3
2016.0,250,-3000,16
2016.0,250,-2750,28
2016.0,250,-1250,24
2016.0,250,-1000,3
2016.0,250,-500,1
2016.0,250,-250,1
2016.0,250,250,1
2016.0,250,500,65
2016.0,250,750,2
2016.0,250,2500,10
2016.0,250,3250,6
2016.0,250,3500,5
2016.0,250,4500,1
2016.0,250,5000,2
2016.0,250,5250,2
2016.0,250,5500,4
2016.0,250,6000,2
2016.0,250,6750,7
2016.0,500,-3500,15
2016.0,500,-1250,31
2016.0,500,-1000,11
2016.0,500,-750,2
2016.0,500,250,1
2016.0,500,750,20
2016.0,500,1750,34
2016.0,500,2000,14
2016.0,500,2750,1
2016.0,500,3000,1
2016.0,500,3500,2
2016.0,500,4000,4
2016.0,500,4500,1
2016.0,500,5000,10
2016.0,500,6000,3
2016.0,500,6750,28
2016.0,750,-4250,1
2016.0,750,-3750,14
2016.0,750,-1250,4
2016.0,750,-1000,54
2016.0,750,-750,3
2016.0,750,0,1
2016.0,750,500,2
2016.0,750,750,36
2016.0,750,1750,24
2016.0,750,2000,3
2016.0,750,3000,3
2016.0,750,3250,4
2016.0,750,3750,1
2016.0,750,4750,9
2016.0,750,5000,5
2016.0,1000,-4750,2
2016.0,1000,-4000,10
2016.0,1000,-3750,31
2016.0,1000,-3500,3
2016.0,1000,-1750,60
2016.0,1000,-1500,11
2016.0,1000,-1250,15
2016.0,1000,-1000,3
2016.0,1000,-750,10
2016.0,1000,-500,19
2016.0,1000,0,5
2016.0,1000,250,2
2016.0,1000,750,15
2016.0,1000,1750,2
2016.0,1000,2000,61
2016.0,1000,2500,2
2016.0,1000,2750,9
2016.0,1000,3000,23
2016.0,1000,3500,5
2016.0,1000,3750,4
2016.0,1000,4000,1
2016.0,1000,5000,2
2016.0,1250,-1750,42
2016.0,1250,-1250,9
2016.0,1250,-1000,5
2016.0,1250,-750,1
2016.0,1250,0,2
2016.0,1250,250,6
2016.0,1250,500,12
2016.0,1250,1750,8
2016.0,1250,2000,25
2016.0,1250,2250,15
2016.0,1250,2500,2
2016.0,1250,3000,9
2016.0,1250,3500,1
2016.0,1250,3750,68
2016.0,1250,4000,4
2016.0,1250,6750,20
2016.0,1500,-4500,10
2016.0,1500,-2250,1
2016.0,1500,-2000,56
2016.0,1500,-1000,12
2016.0,1500,-750,58
2016.0,1500,250,5
2016.0,1500,500,13
2016.0,1500,750,6
2016.0,1500,1000,65
2016.0,1500,1500,15
2016.0,1500,1750,3
2016.0,1500,2000,1
2016.0,1500,2750,6
2016.0,1500,3000,9
2016.0,1500,3750,71
2016.0,1500,5250,22
2016.0,1500,6750,8
2016.0,1750,-4750,1
2016.0,1750,-4500,9
2016.0,1750,-2000,32
2016.0,1750,-1000,34
2016.0,1750,-750,13
2016.0,1750,-250,8
2016.0,1750,0,11
2016.0,1750,250,10
2016.0,1750,750,1
2016.0,1750,1000,40
2016.0,1750,1250,18
2016.0,1750,1750,2
2016.0,1750,5250,1
2016.0,2000,-4500,1
2016.0,2000,-2250,18
2016.0,2000,-2000,28
2016.0,2000,-1750,16
2016.0,2000,-1000,17
2016.0,2000,0,14
2016.0,2000,250,4
2016.0,2000,750,46
2016.0,2000,1250,1
2016.0,2000,1750,2
2016.0,2000,2000,1
2016.0,2000,3000,12
2016.0,2000,4250,4
2016.0,2000,4500,28
2016.0,2250,-4750,13
2016.0,2250,-4250,6
2016.0,2250,-3250,10
2016.0,2250,-3000,39
2016.0,2250,-2750,8
2016.0,2250,-2000,44
2016.0,2250,-1250,2
2016.0,2250,-1000,12
2016.0,2250,0,21
2016.0,2250,500,4
2016.0,2250,750,56
2016.0,2250,1000,11
2016.0,2250,1250,31
2016.0,2250,1500,13
2016.0,2250,1750,9
2016.0,2250,2250,2
2016.0,2250,3250,7
2016.0,2250,3500,29
2016.0,2250,4750,2
2016.0,2250,5250,3
2016.0,2250,5750,1
2016.0,2500,-5750,1
2016.0,2500,-5250,26
2016.0,2500,-4250,21
2016.0,2500,-2750,6
2016.0,2500,-2250,36
2016.0,2500,-2000,33
2016.0,2500,-1500,19
2016.0,2500,500,13
2016.0,2500,750,47
2016.0,2500,1000,1
2016.0,2500,1500,2
2016.0,2500,2500,13
2016.0,2500,2750,42
2016.0,2500,3000,6
2016.0,2500,3250,3
2016.0,2500,3500,7
2016.0,2500,4500,15
2016.0,2500,4750,2
2016.0,2500,5250,5
2016.0,2500,5500,3
2016.0,2750,-5500,9
2016.0,2750,-5000,10
2016.0,2750,-4250,1
2016.0,2750,-3250,8
2016.0,2750,-2500,39
2016.0,2750,-2250,12
2016.0,2750,-1500,1
2016.0,2750,-250,7
2016.0,2750,250,5
2016.0,2750,500,6
2016.0,2750,750,29
2016.0,2750,1000,1
2016.0,2750,2250,8
2016.0,2750,3750,1
2016.0,2750,4500,1
2016.0,2750,5500,2
2016.0,2750,5750,3
2016.0,2750,6250,1
2016.0,3000,-5750,21
2016.0,3000,-5500,5
2016.0,3000,-5250,3
2016.0,3000,-5000,4
2016.0,3000,-4750,10
2016.0,3000,-4000,5
2016.0,3000,-3750,5
2016.0,3000,-2500,3
2016.0,3000,-500,4
2016.0,3000,-250,1
2016.0,3000,0,15
2016.0,3000,750,3
2016.0,3000,1000,15
2016.0,3000,2000,17
2016.0,3000,2250,2
2016.0,3000,2500,14
2016.0,3000,4750,11
2016.0,3000,5000,20
2016.0,3250,-6750,15
2016.0,3250,-6250,2
2016.0,3250,-6000,3
2016.0,3250,-5750,71
2016.0,3250,-5500,1
2016.0,3250,-4500,9
2016.0,3250,-3750,8
2016.0,3250,-1750,24
2016.0,3250,-1500,2
2016.0,3250,-1250,11
2016.0,3250,-1000,1
2016.0,3250,-250,8
2016.0,3250,0,8
2016.0,3250,1000,3
2016.0,3250,1250,1
2016.0,3250,2000,1
2016.0,3250,2250,1
2016.0,3250,2500,9
2016.0,3250,5000,1
2016.0,3250,5500,1
2016.0,3500,-6750,1
2016.0,3500,-6500,4
2016.0,3500,-6250,4
2016.0,3500,-6000,22
2016.0,3500,-5750,11
2016.0,3500,-5500,8
2016.0,3500,-5250,3
2016.0,3500,-4500,2
2016.0,3500,-2750,1
2016.0,3500,-1500,6
2016.0,3500,-1250,5
2016.0,3500,-1000,17
2016.0,3500,0,5
2016.0,3500,1000,3
2016.0,3500,1250,14
2016.0,3500,1500,12
2016.0,3500,1750,15
2016.0,3500,2250,1
2016.0,3500,2750,1
2016.0,3500,5500,14
2016.0,3500,6250,2
2016.0,3750,-6500,1
2016.0,3750,-6000,5
2016.0,3750,-5750,2
2016.0,3750,-5500,6
