"city","year","grid_id","grid_x","grid_y","retail_records","records_with_rateable_value","rateable_value_total","rateable_value_median"
"Birmingham",2016,"Birmingham_401500_277250",401500,277250,4,3,14250,5400
"Birmingham",2016,"Birmingham_401500_277750",401500,277750,1,0,NA,NA
"Birmingham",2016,"Birmingham_401500_278500",401500,278500,35,31,168125,5000
"Birmingham",2016,"Birmingham_401500_278750",401500,278750,3,3,15600,4450
"Birmingham",2016,"Birmingham_401500_280000",401500,280000,1,1,2750,2750
"Birmingham",2016,"Birmingham_401500_282250",401500,282250,1,0,NA,NA
"Birmingham",2016,"Birmingham_401500_282500",401500,282500,4,4,75620,2175
"Birmingham",2016,"Birmingham_401500_282750",401500,282750,2,1,1650000,1650000
"Birmingham",2016,"Birmingham_401500_284000",401500,284000,1,1,7700,7700
"Birmingham",2016,"Birmingham_401500_284750",401500,284750,1,1,83500,83500
"Birmingham",2016,"Birmingham_401750_277250",401750,277250,1,1,4400,4400
"Birmingham",2016,"Birmingham_401750_278250",401750,278250,1,1,11500,11500
"Birmingham",2016,"Birmingham_401750_279000",401750,279000,12,12,163700,6950
"Birmingham",2016,"Birmingham_401750_279250",401750,279250,50,47,1628510,3500
"Birmingham",2016,"Birmingham_401750_279500",401750,279500,16,14,240750,11875
"Birmingham",2016,"Birmingham_401750_279750",401750,279750,1,1,50500,50500
"Birmingham",2016,"Birmingham_401750_280750",401750,280750,8,8,44400,4525
"Birmingham",2016,"Birmingham_401750_281000",401750,281000,1,1,1025,1025
"Birmingham",2016,"Birmingham_401750_281500",401750,281500,1,1,36250,36250
"Birmingham",2016,"Birmingham_401750_283750",401750,283750,5,3,19150,5000
"Birmingham",2016,"Birmingham_401750_284000",401750,284000,1,1,4050,4050
"Birmingham",2016,"Birmingham_401750_284500",401750,284500,11,10,69150,5400
"Birmingham",2016,"Birmingham_401750_284750",401750,284750,1,1,3150,3150
"Birmingham",2016,"Birmingham_402000_276750",402000,276750,1,1,455,455
"Birmingham",2016,"Birmingham_402000_278000",402000,278000,1,1,20500,20500
"Birmingham",2016,"Birmingham_402000_278250",402000,278250,5,5,51400,5800
"Birmingham",2016,"Birmingham_402000_279250",402000,279250,2,2,17475,8737.5
"Birmingham",2016,"Birmingham_402000_279500",402000,279500,53,49,1576750,19500
"Birmingham",2016,"Birmingham_402000_279750",402000,279750,187,107,3027395,14500
"Birmingham",2016,"Birmingham_402000_281250",402000,281250,1,1,9600,9600
"Birmingham",2016,"Birmingham_402000_282000",402000,282000,51,45,452450,8000
"Birmingham",2016,"Birmingham_402000_282250",402000,282250,6,6,48050,7250
"Birmingham",2016,"Birmingham_402000_282500",402000,282500,1,1,32250,32250
"Birmingham",2016,"Birmingham_402000_284500",402000,284500,4,2,11400,5700
"Birmingham",2016,"Birmingham_402000_284750",402000,284750,7,6,28150,4300
"Birmingham",2016,"Birmingham_402000_285250",402000,285250,1,1,810,810
"Birmingham",2016,"Birmingham_402250_277000",402250,277000,4,3,10275,2400
"Birmingham",2016,"Birmingham_402250_277500",402250,277500,20,17,62600,2500
"Birmingham",2016,"Birmingham_402250_277750",402250,277750,2,2,5250,2625
"Birmingham",2016,"Birmingham_402250_278250",402250,278250,4,4,17400,4500
"Birmingham",2016,"Birmingham_402250_278750",402250,278750,5,5,15300,2600
"Birmingham",2016,"Birmingham_402250_279250",402250,279250,1,1,65000,65000
"Birmingham",2016,"Birmingham_402250_279500",402250,279500,1,1,2600,2600
"Birmingham",2016,"Birmingham_402250_280000",402250,280000,9,9,34750,4200
"Birmingham",2016,"Birmingham_402250_282000",402250,282000,9,9,91775,8000
