city,year,distance_km_bin_midpoint,share_percent,smoothed_share_percent
Birmingham,2016,0.25,1.2633907778295297,3.228665321119909
Birmingham,2016,0.75,10.357475547275268,5.369895978885266
Birmingham,2016,1.25,4.552864462040056,6.11059359312736
Birmingham,2016,1.75,5.624126688402422,6.520726595249185
Birmingham,2016,2.25,8.110153702841174,6.388759509392951
Birmingham,2016,2.75,6.1306474149976715,6.1668736738601675
Birmingham,2016,3.25,5.1059618071727995,5.7470372095430315
Birmingham,2016,3.75,5.053563111318119,5.63706463799617
Birmingham,2016,4.25,5.926874708896134,6.113181183046111
Birmingham,2016,4.75,7.37657196087564,6.435983025410133
Birmingham,2016,5.25,7.271774569166278,6.373880867360141
Birmingham,2016,5.75,4.343269678621333,5.596310096775863
Birmingham,2016,6.25,6.183046110852352,5.0108678776587485
Birmingham,2016,6.75,3.0507685142058687,4.245588159188531
Birmingham,2016,7.25,4.488821611551002,3.907260777312011
Birmingham,2016,7.75,3.3709827666511414,3.342519277544895
Birmingham,2016,8.25,2.6723334885887287,2.8896910417637014
Birmingham,2016,8.75,2.5966464834653005,2.2919577705325263
Birmingham,2016,9.25,1.5661387983232418,1.858536459141955
Birmingham,2016,9.75,0.9897531439217513,1.5215028722248098
Birmingham,2016,10.25,2.183278993945039,1.3177301661232725
Birmingham,2016,10.75,0.6287843502561714,0.9561144749780055
Birmingham,2016,11.25,0.5065207265952493,0.6617761217202298
Birmingham,2016,11.75,0.3493246390312063,0.3648501785437044
Birmingham,2016,12.25,0.2969259431765254,0.23288309268747087
Birmingham,2019,0.25,1.1855874950324548,2.9856787506807376
Birmingham,2019,0.75,9.54431050470261,5.005813867914808
Birmingham,2019,1.25,4.225725261624056,5.841833355411312
Birmingham,2019,1.75,5.5967677838124255,6.466640173091358
Birmingham,2019,2.25,8.431580341767122,6.544649033720433
Birmingham,2019,2.75,6.550536494899986,6.383479783930174
Birmingham,2019,3.25,5.08676645913366,5.920578148687832
Birmingham,2019,3.75,5.166247185057624,5.753521437718019
Birmingham,2019,4.25,6.159756259107167,6.186249834415154
Birmingham,2019,4.75,7.2393694529076695,6.46148864455925
Birmingham,2019,5.25,7.298979997350642,6.404821830706053
Birmingham,2019,5.75,4.351569744336999,5.645339338543736
Birmingham,2019,6.25,6.404821830706053,5.124299024153309
Birmingham,2019,6.75,3.106371704861571,4.356721272869106
Birmingham,2019,7.25,4.6893628295138425,4.025551581519259
Birmingham,2019,7.75,3.3514372764604583,3.3963291679545486
