city,window,cluster_id,n_records,n_unique_uarn,centroid_lon,centroid_lat,centroid_x_m,centroid_y_m,median_lon,median_lat,median_x_m,median_y_m,high_street_share,occupied_share,median_rateable_value,median_floor_area,dominant_subgroup,dominant_subgroup_share
Birmingham,2016,0,171,171,-1.8309085789473682,52.58739640350877,3714.8176490419833,12128.82502385932,-1.829018,52.587273,3843.0021763770096,12115.184000000041,0.8245614035087719,0.47368421052631576,11375.0,89.6,RETAIL_HIGH_STREET,0.8245614035087719
Birmingham,2016,1,205,205,-1.9763257560975611,52.39895508780487,-6144.718841268363,-8701.478014048922,-1.979149,52.398045,-6336.1396680417665,-8802.079119999955,0.8292682926829268,0.5024390243902439,5700.0,74.9,RETAIL_HIGH_STREET,0.8292682926829268
Birmingham,2016,2,342,342,-1.9704840380116955,52.4153458362573,-5748.640236509005,-6889.644680117402,-1.970162,52.416154,-5726.80550150859,-6800.310260000453,0.9005847953216374,0.4766081871345029,9800.0,107.5,RETAIL_HIGH_STREET,0.9005847953216374
Birmingham,2016,3,335,335,-1.9571153313432836,52.45857962985075,-4842.2187682299955,-2110.58113629877,-1.951768,52.458947,-4479.660440953215,-2069.9720400001006,0.835820895522388,0.5313432835820896,10250.0,89.6,RETAIL_HIGH_STREET,0.835820895522388
Birmingham,2016,4,342,342,-1.893023502923977,52.43452868713451,-496.68178687187645,-4769.172344152366,-1.892711,52.434944,-475.49354733471586,-4723.263660000149,0.8245614035087719,0.5701754385964912,11625.0,92.9,RETAIL_HIGH_STREET,0.8245614035087719
Birmingham,2016,5,235,235,-1.9349851021276596,52.44256,-3341.7508952701337,-3881.391020000275,-1.934613,52.443685,-3316.5217264904827,-3757.0335200000877,0.7957446808510639,0.4851063829787234,6050.0,77.94,RETAIL_HIGH_STREET,0.7957446808510639
Birmingham,2016,6,475,475,-1.9245172842105263,52.422388669473676,-2632.0147090058185,-6111.129896379276,-1.922593,52.424042,-2501.544906447234,-5928.370740000318,0.8821052631578947,0.5873684210526315,5100.0,68.44999999999999,RETAIL_HIGH_STREET,0.8821052631578947
Birmingham,2016,7,418,418,-1.8239725622009568,52.56094567703348,4185.091598439421,9204.96171928196,-1.824376,52.560798,4157.737816862934,9188.637499999497,0.8301435406698564,0.47129186602870815,17875.0,102.1,RETAIL_HIGH_STREET,0.8301435406698564
Birmingham,2016,8,230,230,-1.8508817608695654,52.54872003478261,2360.601318834217,7853.53922486922,-1.856422,52.54877,1984.96350944978,7859.062379999407,0.7565217391304347,0.5478260869565217,10500.0,101.4,RETAIL_HIGH_STREET,0.7565217391304347
Birmingham,2016,9,360,360,-1.887576363888889,52.54265943888889,-127.35632521220157,7183.60095477745,-1.884414,52.54063,87.05742403790256,6959.266779999698,0.8777777777777778,0.6,5500.0,84.7,RETAIL_HIGH_STREET,0.8777777777777778
Birmingham,2016,10,264,264,-1.780951227272727,52.455736746212125,7102.012624547935,-2424.833493712442,-1.780303,52.452891,7145.96355644416,-2739.4022800002053,0.8143939393939394,0.49242424242424243,9350.0,87.0,RETAIL_HIGH_STREET,0.8143939393939394
Birmingham,2016,11,271,271,-1.8195010369003692,52.513740007380086,4488.26875902312,3986.846995793058,-1.821268,52.513216,4368.465600281765,3928.9232199996677,0.6863468634686347,0.5239852398523985,6750.0,139.44,RETAIL_HIGH_STREET,0.6863468634686347
Birmingham,2016,12,193,193,-1.9408217512953365,52.48647545595855,-3737.485818596394,973.0234816577195,-1.942003,52.486774,-3817.576526833215,1006.0245399993402,0.9222797927461139,0.5958549222797928,4250.0,71.85,RETAIL_HIGH_STREET,0.9222797927461139
Birmingham,2016,13,842,842,-1.8413811532066509,52.52591496199525,3004.758974541417,5332.666478954574,-1.840272,52.525107,3079.9614831351905,5243.354359999506,0.8978622327790974,0.49287410926365793,6400.0,76.4,RETAIL_HIGH_STREET,0.8978622327790974
Birmingham,2016,14,350,350,-1.8520326628571426,52.489607928571424,2282.568170579851,1319.2870042853845,-1.852635,52.489585,2241.7286689758853,1316.752479999476,0.94,0.6114285714285714,7000.0,77.35,RETAIL_HIGH_STREET,0.94
Birmingham,2016,15,339,339,-1.8267174454277286,52.49164269026549,3998.983761206106,1544.2095619465838,-1.829494,52.493164,3810.7285518894455,1712.3751399996968,0.8908554572271387,0.5339233038348082,5800.0,75.03999999999999,RETAIL_HIGH_STREET,0.8908554572271387
Birmingham,2016,16,280,280,-1.9021446214285715,52.517137521428566,-1115.1094203254818,4362.408198713879,-1.902195,52.517723,-1118.525174729912,4427.126999999304,0.8428571428571429,0.4607142857142857,6650.0,56.255,RETAIL_HIGH_STREET,0.8428571428571429
Birmingham,2016,17,269,269,-1.8122739851301115,52.46433087360595,4978.275387143955,-1474.8386515987597,-1.812816,52.462507,4941.525840132486,-1676.449640000075,0.8884758364312267,0.39776951672862454,7050.0,103.94999999999999,RETAIL_HIGH_STREET,0.8884758364312267
Birmingham,2016,18,966,966,-1.8543328561076604,52.47120279917184,2126.611083991517,-715.2159995448526,-1.855927,52.470521,2018.5253668475618,-790.5820800005451,0.8975155279503105,0.5652173913043478,4400.0,64.0,RETAIL_HIGH_STREET,0.8975155279503105
Birmingham,2016,19,294,294,-1.8237493639455784,52.44621105442177,4200.224826759533,-3477.8034642181915,-1.821821,52.445927,4330.971242421219,-3509.2028400005947,0.8639455782312925,0.608843537414966,8300.0,81.1,RETAIL_HIGH_STREET,0.8639455782312925
Birmingham,2016,20,691,691,-1.9368496483357451,52.50552692329957,-3468.1703577900503,3078.972681533667,-1.935616,52.5041,-3384.526863803582,2921.2405799998014,0.9247467438494935,0.6063675832127352,4750.0,79.2,RETAIL_HIGH_STREET,0.9247467438494935
Birmingham,2016,21,430,430,-1.9027282511627905,52.5049832255814,-1154.6805272203842,3018.8723357671424,-1.904218,52.503127,-1255.6880788020756,2813.6851599995925,0.9279069767441861,0.5674418604651162,3850.0,83.0,RETAIL_HIGH_STREET,0.9279069767441861
Birmingham,2016,22,212,212,-1.8598081415094339,52.44617698584905,1755.377249917756,-3481.569404245523,-1.859623,52.446308,1767.9301649440843,-3467.087100000108,0.9245283018867925,0.5235849056603774,6400.0,63.6,RETAIL_HIGH_STREET,0.9245283018867925
Birmingham,2016,23,243,243,-1.8771050452674898,52.455966810699586,582.6172148649696,-2399.402165267792,-1.876859,52.456287,599.2995101798961,-2364.008439999965,0.8518518518518519,0.5925925925925926,5800.0,85.74000000000001,RETAIL_HIGH_STREET,0.8518518518518519
Birmingham,2016,24,338,338,-1.8679027662721894,52.45563666272189,1206.5476701678579,-2435.8967227222743,-1.8678810000000001,52.455774,1208.0234611240196,-2420.715460000528,0.9112426035502958,0.5680473372781065,6850.0,70.0,RETAIL_HIGH_STREET,0.9112426035502958
Birmingham,2016,25,415,415,-1.9109143349397588,52.48849276626506,-1709.7111865516074,1196.0169629394395,-1.911178,52.488069,-1727.5881343346136,1149.1738400000079,0.7108433734939759,0.5204819277108433,6700.0,80.4,RETAIL_HIGH_STREET,0.7108433734939759
Birmingham,2016,26,527,527,-1.8988509810246679,52.47806224667933,-891.7948959711363,43.027327931445136,-1.898595,52.478243,-874.4389391096329,63.00779999957825,0.8216318785578748,0.3795066413662239,39500.0,105.9,RETAIL_HIGH_STREET,0.8216318785578748
Birmingham,2016,27,243,243,-1.8959968065843624,52.4810260452675,-698.2769251550656,370.64562386795166,-1.89607,52.481343,-703.2395655148489,405.6817999999578,0.831275720164609,0.32510288065843623,23875.0,131.4,RETAIL_HIGH_STREET,0.831275720164609
Birmingham,2016,28,166,166,-1.8950612289156625,52.47777621084337,-634.843138687497,11.40892662623711,-1.895122,52.47762,-638.9635234681798,-5.858620000131651,0.9096385542168675,0.5240963855421686,73500.0,103.555,RETAIL_HIGH_STREET,0.9096385542168675
Birmingham,2016,29,283,283,-1.894054250883392,52.476273833922264,-566.5682838960521,-154.66381823350113,-1.893756,52.476109,-546.34635739671,-172.88456000020972,0.950530035335689,0.4628975265017668,4000.0,21.4,RETAIL_HIGH_STREET,0.950530035335689
Birmingham,2025,0,171,171,-1.8301952865497075,52.587365649122795,3763.1801091090915,12125.425434034736,-1.829018,52.587296,3843.0021763770096,12117.726419999904,0.8538011695906432,0.43859649122807015,15500.0,75.11,RETAIL_HIGH_STREET,0.8538011695906432
Birmingham,2025,1,523,523,-1.9753500764818355,52.40685058891013,-6078.566073331181,-7828.709321874123,-1.972589,52.410562,-5891.360305355924,-7418.449940000458,0.858508604206501,0.4780114722753346,8400.0,76.1,RETAIL_HIGH_STREET,0.858508604206501
Birmingham,2025,2,220,220,-1.950874418181818,52.45888926363636,-4419.074045892463,-2076.354217636624,-1.948602,52.458958,-4265.000157071605,-2068.7561000000287,0.7863636363636364,0.40454545454545454,16000.0,100.9,RETAIL_HIGH_STREET,0.7863636363636364
Birmingham,2025,3,219,219,-1.7805152739726025,52.45565064840182,7131.571013418387,-2434.3507456624498,-1.780303,52.452891,7145.96355644416,-2739.4022800002053,0.8584474885844748,0.4657534246575342,10750.0,84.91,RETAIL_HIGH_STREET,0.8584474885844748
Birmingham,2025,4,194,194,-1.9360201030927835,52.442567376288665,-3411.925753448036,-3880.5756450518415,-1.935836,52.443685,-3399.4432448692573,-3757.0335200000877,0.7577319587628866,0.44329896907216493,11875.0,76.71000000000001,RETAIL_HIGH_STREET,0.7577319587628866
Birmingham,2025,5,452,452,-1.9248907920353981,52.42110505530973,-2657.339186491291,-6253.020606062287,-1.923271,52.4230275,-2547.514480822383,-6040.513570000333,0.8672566371681416,0.48672566371681414,8100.0,65.04,RETAIL_HIGH_STREET,0.8672566371681416
Birmingham,2025,6,306,306,-1.8928418267973857,52.434588405228766,-484.363830804747,-4762.571106013378,-1.8927040000000002,52.434944,-475.01893520990006,-4723.263660000149,0.7941176470588235,0.477124183006536,14250.0,86.9,RETAIL_HIGH_STREET,0.7941176470588235
Birmingham,2025,7,242,242,-1.8181492024793393,52.514003099173564,4579.925474304001,4015.9291626443273,-1.821268,52.51442,4368.465600281765,4062.013379999813,0.6570247933884298,0.41735537190082644,10750.0,127.73500000000001,RETAIL_HIGH_STREET,0.6570247933884298
Birmingham,2025,8,746,746,-1.8415137252010723,52.52597940214476,2995.7703636894644,5339.789693082813,-1.840272,52.524771,3079.9614831351905,5206.212919999813,0.8914209115281502,0.435656836461126,6900.0,74.4,RETAIL_HIGH_STREET,0.8914209115281502
Birmingham,2025,9,328,328,-1.8241769176829268,52.561020118902434,4171.23594279431,9213.190523475287,-1.824376,52.561377,4157.737816862934,9252.640159999706,0.7957317073170732,0.38109756097560976,19500.0,120.2,RETAIL_HIGH_STREET,0.7957317073170732
Birmingham,2025,10,294,294,-1.882830210884354,52.54375598639455,194.44106938636662,7304.813316054091,-1.884377,52.540917,89.56608812622645,6990.991759999714,0.8843537414965986,0.4897959183673469,8500.0,85.85,RETAIL_HIGH_STREET,0.8843537414965986
Birmingham,2025,11,203,203,-1.8504623201970443,52.54881434482758,2389.040122951345,7863.964257241019,-1.844112,52.548956,2819.6028318068916,7879.622819999336,0.729064039408867,0.4088669950738916,12000.0,106.1,RETAIL_HIGH_STREET,0.729064039408867
Birmingham,2025,12,152,152,-1.9420205592105262,52.486741980263155,-3818.7670717215055,1002.485078289136,-1.942003,52.486774,-3817.576526833215,1006.0245399993402,0.9078947368421053,0.5263157894736842,9000.0,67.37,RETAIL_HIGH_STREET,0.9078947368421053
Birmingham,2025,13,184,184,-1.9022886630434777,52.517176972826086,-1124.875691313058,4366.769156195214,-1.903063,52.517723,-1177.377078207236,4427.126999999304,0.8043478260869565,0.45108695652173914,9900.0,67.69999999999999,RETAIL_HIGH_STREET,0.8043478260869565
Birmingham,2025,14,163,163,-1.8111763251533743,52.46505770552148,5052.698634841967,-1394.4946516567331,-1.810441,52.465875,5102.554953909753,-1304.1509200006599,0.8773006134969326,0.5460122699386503,11750.0,89.35,RETAIL_HIGH_STREET,0.8773006134969326
