city,window,n_records,min_cluster_size,min_samples,noise_share,n_clusters
Birmingham,2016,17408,150,52,0.38367417279411764,30
Birmingham,2025,15026,150,52,0.3709570078530547,26
Liverpool,2016,9919,119,42,0.3437846557112612,18
Liverpool,2025,8727,105,37,0.233298957259081,18
