city,early_cluster_id,late_cluster_id,status,distance_m,dx_m,dy_m,early_n_records,late_n_records,record_change_pct,early_high_street_share,late_high_street_share,early_centroid_lon,early_centroid_lat,late_centroid_lon,late_centroid_lat,early_centroid_x_m,early_centroid_y_m,late_centroid_x_m,late_centroid_y_m
Birmingham,0.0,1.0,persistent_or_relocated,141.00446543989293,-120.8299356015059,-72.68002432942558,578,447,-22.664359861591695,1.0,1.0,-1.9737007006920413,52.40782171453288,-1.9754828076062636,52.407164214765096,-5966.735537871725,-7721.361095536671,-6087.565473473231,-7794.041119866097
Birmingham,1.0,2.0,persistent_or_relocated,362.62441893285256,361.3814650962004,29.998431480873478,258,174,-32.55813953488372,1.0,1.0,-1.9565827325581393,52.45855653875969,-1.95125275862069,52.45882791954021,-4806.1076480739575,-2113.1336255041188,-4444.726182977757,-2083.1351940232453
Birmingham,2.0,5.0,persistent_or_relocated,43.060144246337785,25.53254958650541,-34.67369224827462,214,178,-16.822429906542055,1.0,1.0,-1.7805600654205607,52.455819271028034,-1.7801834887640449,52.45550559550562,7128.534075662816,-2415.711200561061,7154.066625249321,-2450.3848928093357
Birmingham,3.0,3.0,persistent_or_relocated,6.768662705325133,-2.243519034195515,6.386032975303351,277,243,-12.274368231046932,1.0,1.0,-1.8927786389891694,52.43450454151624,-1.8928117283950618,52.4345623127572,-480.079587959045,-4771.8414007945485,-482.3231069932405,-4765.455367819245
Birmingham,4.0,4.0,persistent_or_relocated,696.9181552936502,-241.02434375575285,653.9129765458192,376,524,39.361702127659576,1.0,1.0,-1.9243837606382976,52.423323374999995,-1.9279386011450381,52.429238998091606,-2622.9615795303152,-6007.807547500329,-2863.985923286068,-5353.89457095451
Birmingham,6.0,7.0,persistent_or_relocated,20.6530713517452,-15.520415165869053,13.625933705230636,347,261,-24.78386167146974,1.0,1.0,-1.8238710605187318,52.560958752161376,-1.8240999693486586,52.561082019157084,4191.973588307035,9206.40704391898,4176.453173141166,9220.03297762421
Birmingham,7.0,6.0,persistent_or_relocated,937.6097871877138,914.6285501815931,206.31705751805112,251,384,52.98804780876494,1.0,1.0,-1.88354196812749,52.54420031075698,-1.8700522161458337,52.546066757812504,146.18269545508778,7353.928931075363,1060.811245636681,7560.245988593414
Birmingham,9.0,9.0,persistent_or_relocated,959.4079582519018,-276.6301379545539,-918.6617424995598,258,297,15.11627906976744,1.0,1.0,-1.811685565891473,52.46403414728682,-1.8157655521885523,52.45572347474748,5018.171230734471,-1507.6387789150035,4741.541092779917,-2426.3005214145633
Birmingham,10.0,8.0,persistent_or_relocated,35.59169636895093,-31.959681952403116,15.663574940633225,757,676,-10.700132100396301,1.0,1.0,-1.841586455746367,52.52580021664465,-1.8420578254437874,52.525941917159756,2990.8391067406783,5319.982527899306,2958.879424788275,5335.646102839939
Birmingham,12.0,12.0,persistent_or_relocated,70.20793137846663,-42.20707172073753,56.10451608564142,906,813,-10.264900662251655,1.0,1.0,-1.8538040905077262,52.47068479249448,-1.854426597785978,52.471192341943414,2162.4623075508034,-772.476457660392,2120.255235830066,-716.3719415747506
Birmingham,13.0,13.0,persistent_or_relocated,15.99171531930873,6.277305902935495,-14.708174239339996,336,407,21.13095238095238,1.0,1.0,-1.8518646815476192,52.48959510416667,-1.8517720982800985,52.489462046683045,2293.9575943288046,1317.869394583005,2300.23490023174,1303.161220343665
Birmingham,14.0,10.0,persistent_or_relocated,19.559588113963137,6.8569578921706125,18.31828637326339,310,280,-9.67741935483871,1.0,1.0,-1.8272882967741937,52.49152991935484,-1.8271871642857143,52.49169563571429,3960.279051134607,1531.7438654835546,3967.1360090267776,1550.062151856818
Birmingham,17.0,14.0,persistent_or_relocated,74.25684471563481,-70.85252265479448,22.226088737646478,559,598,6.976744186046512,1.0,1.0,-1.9356374239713776,52.50549136314847,-1.9366824197324413,52.50569243143812,-3385.979446171793,3075.041862432592,-3456.8319688265874,3097.2679511702386
Birmingham,18.0,15.0,persistent_or_relocated,373.4377096363952,311.73359764516954,205.61587263068031,236,401,69.91525423728814,1.0,1.0,-1.9088639576271187,52.50287009322034,-1.9042662344139651,52.504730197007476,-1570.6920532617173,2785.2866845759886,-1258.9584556165478,2990.902557206669
Birmingham,19.0,11.0,persistent_or_relocated,180.40190329427338,165.94519385655065,70.7604363193741,1314,1189,-9.512937595129376,1.0,1.0,-1.870759292237443,52.453249580669706,-1.868311785534062,52.453889714886465,1012.8702618872138,-2699.764772770458,1178.8154557437645,-2629.004336451084
Birmingham,20.0,16.0,persistent_or_relocated,77.15978038250782,77.06854161348338,-3.7512134366922965,296,307,3.7162162162162162,1.0,1.0,-1.9110040236486487,52.48858310472973,-1.9098673485342017,52.488549169381116,-1715.7922363656373,1206.0029768240165,-1638.723694752154,1202.2517633873242
Birmingham,21.0,17.0,persistent_or_relocated,39.805799192069784,-6.195285915988734,39.32073348423876,619,398,-35.70274636510501,1.0,1.0,-1.8975105008077549,52.47920815185784,-1.8976018743718592,52.479563866834184,-800.9080153961738,169.69568636480727,-807.1033013121626,209.01641984904603
Birmingham,22.0,19.0,persistent_or_relocated,1.3328134734508739,1.3311504002450647,-0.06656100164200573,214,170,-20.5607476635514,1.0,1.0,-1.8949418271028038,52.477597196261684,-1.8949221941176468,52.47759659411764,-626.7474889577838,-8.379345233960024,-625.4163385575388,-8.44590623560203
Birmingham,23.0,18.0,persistent_or_relocated,0.7184117317127727,-0.1810682237335186,0.6952191845860796,230,167,-27.391304347826086,1.0,1.0,-1.8937792695652171,52.476096147826084,-1.8937819401197602,52.47610243712574,-547.9240742240527,-174.30523930454947,-548.1051424477862,-173.6100201199634
Birmingham,5.0,,disappeared,,,,166,0,-100.0,1.0,,-1.9353624999999999,52.44294416867469,,,-3367.339124711988,-3838.925014699093,,
Birmingham,8.0,,disappeared,,,,166,0,-100.0,1.0,,-1.84939593373494,52.54833245783132,,,2461.342972187881,7810.696468674356,,
Birmingham,11.0,,disappeared,,,,157,0,-100.0,1.0,,-1.9423190509554138,52.48677745859874,,,-3839.0053290474393,1006.406853502855,,
Birmingham,15.0,,disappeared,,,,170,0,-100.0,1.0,,-1.8199653647058824,52.44706083529412,,,4456.786529539353,-3383.868686588761,,
Birmingham,16.0,,disappeared,,,,230,0,-100.0,1.0,,-1.9022491826086954,52.51698941304347,,,-1122.1988494500747,4346.036297825653,,
Birmingham,,0.0,emerged,,,,0,167,,,1.0,,,-1.8275589880239516,52.58713116766466,,,3941.9257155321316,12099.505853652312
Liverpool,0.0,0.0,persistent_or_relocated,108.43299529384888,103.71235067799898,-31.645896815221022,222,171,-22.972972972972975,1.0,1.0,-2.8640194999999995,53.382612536036035,-2.8624566842105263,53.382326251462,5720.679098514703,-2578.286246576763,5824.391449192702,-2609.932143391984
Liverpool,1.0,2.0,persistent_or_relocated,90.29687283191957,-78.11486885597878,-45.29450857264146,594,1041,75.25252525252525,1.0,1.0,-2.8699565000000007,53.3479060016835,-2.871133593659943,53.34749624495678,5326.684982175078,-6414.746553905666,5248.5701133191,-6460.041062478307
Liverpool,2.0,1.0,persistent_or_relocated,57.482788655958736,-31.96593078776459,47.774996185635246,257,274,6.614785992217899,1.0,1.0,-2.9025676964980542,53.35853571595331,-2.9030493832116786,53.358967912408765,3162.5247081261596,-5239.737938521578,3130.558777338395,-5191.962942335943
Liverpool,3.0,5.0,persistent_or_relocated,39.76456343899906,-34.80355877521015,19.233637255461417,137,120,-12.408759124087592,1.0,1.0,-2.9088136204379564,53.432266802919706,-2.9093380666666673,53.432440799999995,2748.0296292267158,2910.496414744296,2713.2260704515056,2929.7300519997575
Liverpool,5.0,6.0,persistent_or_relocated,288.0475402365694,244.57710623174899,152.16249387954258,400,372,-7.000000000000001,1.0,1.0,-2.9166170150000004,53.41446811,-2.912931543010753,53.41584464784947,2230.176918274754,943.0288993998588,2474.754024506503,1095.1913932794014
Liverpool,6.0,4.0,persistent_or_relocated,226.47713362630685,74.6431840246895,213.82302760517723,375,310,-17.333333333333336,1.0,1.0,-2.960352650666666,53.462559176000006,-2.9592278709677418,53.46449352580645,-672.2288636082842,6259.015335039784,-597.5856795835947,6472.838362644961
Liverpool,7.0,9.0,persistent_or_relocated,55.204224238025745,22.06281348041489,50.6037413147551,208,196,-5.769230769230769,1.0,1.0,-2.934980668269231,53.42600343269232,-2.9346482091836736,53.42646121938775,1011.5191209734871,2218.143469807491,1033.581934453902,2268.747211122246
Liverpool,8.0,10.0,persistent_or_relocated,10.43239909080245,-6.661644196816496,-8.02853955491264,126,97,-23.015873015873016,1.0,1.0,-2.964464452380953,53.38603565079365,-2.9645648350515463,53.385963020618554,-945.0982729031645,-2199.8951412699475,-951.759917099981,-2207.92368082486
Liverpool,9.0,11.0,persistent_or_relocated,23.83933332693621,-23.730133151959514,2.2791652118798993,122,106,-13.114754098360656,1.0,1.0,-2.949189803278689,53.38004690983608,-2.949547386792453,53.38006752830189,68.56550938487896,-2861.890566721384,44.83537623291945,-2859.611401509504
Liverpool,10.0,3.0,persistent_or_relocated,183.67358034957164,66.55064683443493,171.19286061150115,417,408,-2.158273381294964,1.0,1.0,-2.970611023980815,53.440864220623496,-2.96960818872549,53.44241291666667,-1353.0000829092573,3860.854967721611,-1286.4494360748224,4032.047828333112
Liverpool,11.0,8.0,persistent_or_relocated,140.09913067678946,126.26404696911175,-60.705492827042235,380,266,-30.0,1.0,1.0,-2.956728897368421,53.42689887894738,-2.9548262556390976,53.42634970676691,-431.7475635282694,2317.1260988419476,-305.48351655915764,2256.4206060149054
Liverpool,12.0,12.0,persistent_or_relocated,82.3942727820335,-82.0233348689907,-7.8095277865925254,157,136,-13.375796178343949,1.0,1.0,-2.946657312101911,53.39593927388536,-2.9478933014705886,53.395868625000006,236.62793541357948,-1105.1486447135503,154.60460054458878,-1112.9581725001428
Liverpool,13.0,14.0,persistent_or_relocated,20.0606445263248,12.567606565040023,-15.636007292078375,197,179,-9.137055837563452,1.0,1.0,-2.91244440609137,53.38780273604061,-2.912255027932961,53.387661284916206,2507.0816445314954,-2004.5615380711674,2519.6492510965354,-2020.1975453632458
Liverpool,14.0,15.0,persistent_or_relocated,6.650744035575112,-4.334860944696175,5.043944569172595,115,99,-13.91304347826087,1.0,1.0,-2.9241268608695656,53.39935446086957,-2.9241921818181824,53.39940009090909,1731.804830145051,-727.6338754783673,1727.4699692003549,-722.5899309091947
Liverpool,15.0,16.0,persistent_or_relocated,2.599625930818829,2.5045144664031795,-0.6967512237254141,165,141,-14.545454545454545,1.0,1.0,-2.9331899030303026,53.39357692727274,-2.9331521631205675,53.393570624113465,1130.3587652185668,-1366.282439272841,1132.86327968497,-1366.9791904965664
Liverpool,16.0,7.0,persistent_or_relocated,264.0693340791674,165.30719915257518,205.92751906762192,305,169,-44.59016393442623,1.0,1.0,-2.947593636065574,53.41028975737704,-2.9451026627218932,53.412152680473355,174.49114365494663,481.15380045877623,339.7983428075218,687.0813195263981
Liverpool,17.0,17.0,persistent_or_relocated,2.3910081280014266,0.743883833788459,2.272346080595355,126,117,-7.142857142857142,1.0,1.0,-2.9741077222222225,53.40949501587302,-2.9740965128205126,53.40951557264959,-1585.0496927676686,393.3030746030555,-1584.3058089338801,395.57542068365086
Liverpool,18.0,18.0,persistent_or_relocated,256.57810955277296,256.259658921098,-12.779417487400146,738,1206,63.41463414634146,1.0,1.0,-2.9885395027100268,53.40570367615176,-2.9846779892205633,53.40558806716418,-2542.7786131820076,-25.791618184413814,-2286.5189542609096,-38.57103567181396
Liverpool,19.0,13.0,persistent_or_relocated,1082.1897492293224,-253.38389718067197,-1052.1080049056554,113,124,9.734513274336283,1.0,1.0,-2.9776887964601775,53.40275580530974,-2.9815069758064516,53.39323791129033,-1822.6987040409588,-351.6492610622421,-2076.0826012216307,-1403.7572659678976
Liverpool,4.0,,disappeared,,,,140,0,-100.0,1.0,,-2.928509821428572,53.44129732142857,,,1440.9406441256785,3908.729930714135,,
Liverpool,20.0,,disappeared,,,,147,0,-100.0,1.0,,-2.9808607346938767,53.40616158503401,,,-2033.196430412982,24.825629659474973,,
Liverpool,21.0,,disappeared,,,,257,0,-100.0,1.0,,-2.981207607003891,53.40680628793775,,,-2056.2157413893106,96.09108863792213,,
