city,year,count,mean,median,q25,q75
Birmingham,2016.0,17408,4.581569635029631,4.361827065384557,2.241421933868431,6.384179721583506
Birmingham,2019.0,15295,4.6071139260763365,4.409794116493597,2.288666745493516,6.384179721583506
Birmingham,2022.0,16592,4.541065288531423,4.311952147030012,2.2564358441316523,6.328558366738778
Birmingham,2025.0,15026,4.612049248721264,4.361827065384557,2.3099813851815134,6.352460110719486
Liverpool,2016.0,9919,3.4848714729144397,2.691386469486604,1.9847830189665494,4.304208326913499
Liverpool,2019.0,8479,3.6046061944722907,2.740524508757207,2.0492870868841497,4.434127066631769
Liverpool,2022.0,9506,3.813014112512571,2.7836014429130373,2.0979170349751626,5.292983992412233
Liverpool,2025.0,8727,3.8657992447305447,2.8306254932618233,2.086085765061371,5.533076489023281
